Feature	GM23913_day0-1	GM23913_day0-2	GM23913_day0-3	GM23913_day14-1	GM23913_day14-2	GM23913_day14-3	GM23913_day21-1	GM23913_day21-2	GM23913_day21-3	GM23913_day35-1	GM23913_day35-2	GM23913_day35-3	GM23913_day60-1	GM23913_day60-2	GM23913_day60-3	GM25256_day0-1	GM25256_day0-2	GM25256_day0-3	GM25256_day14-1	GM25256_day14-2	GM25256_day14-3	GM25256_day21-1	GM25256_day21-2	GM25256_day21-3	GM25256_day35-1	GM25256_day35-2	GM25256_day35-3	GM25256_day60-1	GM25256_day60-2	GM25256_day60-3	NCRM_day0-1	NCRM_day0-2	NCRM_day0-3	NCRM_day14-1	NCRM_day14-2	NCRM_day14-3	NCRM_day21-1	NCRM_day21-2	NCRM_day21-3	NCRM_day35-1	NCRM_day35-2	NCRM_day35-3	NCRM_day60-1	NCRM_day60-2	NCRM_day60-3
ATOH1	56.0346	63.5371	58.1557	0	0	0	0	0	0	20.4444	100.551	33.7918	0	0	1.67549	2.38615	10.3882	9.86048	10.2975	2.44564	12.2132	3633.03	2399.45	4673.55	887.781	1394.25	850.995	5.40693	13.3929	7.14829	6.50052	8.60308	12.6316	3.67989	0	3.97939	27.0302	20.3012	52.2981	6.22021	29.7123	14.7423	0	0	0
BARHL1	0.521252	0	0	0	0	0	1.70063	0	0	3.83333	35.7895	2.59937	17.3878	6.67029	26.8079	10.34	3.46275	7.17126	2.57438	3.49377	4.07105	521.581	357.601	742.93	293.788	501.477	256.94	43.2554	42.0921	36.1177	1.08342	0.819341	2.10527	0	0	0	7.11322	4.68488	9.8059	2.48808	8.48924	24.2195	9.38285	4.85753	3.12789
CBLN1	242.382	272.68	192.361	33.8096	69.4525	44.8185	20.4076	28.8634	36.1279	761.556	664.661	668.037	752.891	785.427	743.919	51.7	64.638	47.5096	709.671	576.472	841.598	861.51	653.062	1205.01	903.468	966.932	921.069	1017.7	963.654	767.501	219.934	208.932	175.439	312.791	225.291	254.681	312.981	324.819	403.131	1084.8	1270.56	1455.27	715.443	1107.52	1062.44
EN1	1.82438	0	0	8.89727	2.04272	0	319.719	467.587	384.587	139.278	185.764	276.832	116.498	93.384	185.98	0	0	0.448204	174.629	182.375	226.129	97.5042	113.143	102.127	12.8354	45.2035	8.20692	11.4146	24.2348	17.6826	0	0.819341	2.80703	34.3456	45.0582	66.3232	379.846	346.681	116.581	108.232	70.7437	44.2268	56.2971	60.7191	95.9221
EN2	0.260626	0	2.23676	10.6767	26.5554	25.8568	11.9044	15.8749	15.1504	10.2222	13.6341	2.59937	8.6939	10.0054	10.053	0.795385	2.88562	0.896407	1358.84	1282.21	1583.27	1032.48	1034.11	1297.93	417.15	430.14	416.659	165.212	341.201	179.836	4.33368	5.73539	2.80703	783.816	803.538	1122.19	948.903	824.54	721.278	335.891	391.92	358.027	194.694	184.586	150.139
FEN1	2667.51	2872.41	2368.73	2315.07	2481.91	2583.96	1423.43	1971.37	1494.06	1124.44	1210.02	1090.43	392.964	321.841	278.132	2134.81	1932.79	1994.95	2373.15	2390.44	2484.08	2171.14	1958.01	2047.97	1727.07	1721.27	1668.53	447.573	429.85	331.079	3066.08	2796.82	2183.17	2708.4	2667.02	2845.26	2072.79	1933.3	1681.17	380.677	425.877	341.178	504.328	383.745	359.708
FGF8	51.3433	84.7162	44.7352	1110.38	1041.79	1313.53	10.2038	7.21584	11.6542	1.27778	5.11278	2.59937	0	0	0	3.18154	7.50262	13.4461	318.365	447.202	323.464	6.01053	2.34493	4.60407	1.42615	1.41261	0.631302	0	0.637759	0.752452	84.5068	90.9469	88.4214	317.697	356.174	164.482	1.42264	1.56163	1.08954	7.46425	4.24462	1.05302	4.69143	0	3.12789
GAD1	9.90379	2.64738	11.1838	524.939	561.748	575.745	1772.06	1099.69	1483.57	686.167	579.448	762.914	3693.17	3433.53	4078.15	10.34	16.1595	23.3066	121.425	158.966	146.188	76.1334	178.214	95.8484	309.475	158.919	148.356	3795.66	5771.72	3650.89	27.0855	22.1222	19.6492	121.436	187.742	90.1995	933.254	822.978	654.816	7030.08	4265.84	5432.53	8369.51	8694.97	9385.77
GBX2	26.5839	34.4159	26.8411	1888	1914.03	2213.34	1209.15	1128.56	975.453	1579.33	1668.47	1442.65	589.446	595.323	584.747	132.034	117.156	112.947	842.251	1001.31	918.948	500.878	702.306	426.923	1225.07	1173.17	1104.78	591.758	443.88	448.461	374.863	534.62	848.424	815.709	842.159	612.826	961.707	949.47	825.875	510.057	649.427	507.556	347.166	354.599	316.96
GEN1	961.449	982.178	995.358	1286.55	1323.68	1216.99	908.138	871.674	992.934	495.778	618.646	514.674	149.535	138.408	93.8276	959.234	919.36	1006.22	1160.62	1049.88	1138.79	749.313	671.822	790.645	494.162	521.96	561.859	175.425	125.639	156.134	998.913	945.52	961.407	1292.87	1215.5	1307.89	936.099	893.251	840.039	150.529	207.986	129.521	89.1371	85.0067	85.4958
GFAP	46.9127	50.3002	46.9719	16.0151	20.4272	6.89515	11.9044	14.4317	5.82708	3.83333	8.5213	6.49841	10208.4	8831.46	6286.45	46.9277	40.3987	52.888	8.1522	8.03567	8.14211	8.68188	6.44855	7.95249	46.35	7.76936	13.2573	2674.03	5584.22	1992.12	32.5026	31.5446	29.4738	6.13315	5.36407	9.28525	17.0717	12.493	10.8954	727.764	660.746	331.701	29330.8	9972.5	12746.2
GIMAP2	0	0	0	0	0	3.44758	0	0	1.16542	0	1.70426	0	6.95512	11.673	6.70197	0.795385	0	0.896407	0.429063	1.04813	0.370096	0	0	0	0.713077	0	0	0.60077	1.91328	1.5049	1.08342	0.819341	2.10527	0	0	0	0	0	0	0	0	0	0	0	3.12789
GRIN1	48.7371	29.1212	26.8411	7.11782	8.17089	15.5141	18.707	36.0792	20.9775	249.167	187.469	220.946	1067.61	1127.28	1218.08	41.36	31.1647	54.2327	4.7197	3.49377	2.96077	12.6889	31.6565	20.509	111.24	55.0918	61.2363	452.98	436.865	298.723	45.5036	51.2088	42.1054	13.4929	19.3107	10.6117	149.378	93.6977	84.9845	899.442	800.818	817.143	1332.37	1534.98	1431.53
KREMEN1	294.768	256.796	263.938	368.347	410.587	348.205	437.062	490.677	310.001	1139.78	916.892	843.494	770.279	633.677	559.615	241.797	194.491	222.309	280.607	292.778	309.4	538.277	835.38	772.228	3397.1	2620.39	2248.07	999.681	1178.58	641.841	271.938	279.395	223.86	249.006	280.005	238.763	489.389	496.598	414.027	1434.38	1450.25	1536.36	804.58	886.499	826.807
KREMEN2	105.032	129.722	98.4174	7.11782	16.3418	31.0282	10.2038	5.77267	12.8196	10.2222	10.2256	5.19873	20.8653	35.019	26.8079	140.783	145.435	133.565	13.73	18.517	15.1739	17.3638	20.5181	19.2534	15.6877	9.18197	12.626	40.2516	66.3269	35.3652	81.2565	91.3565	72.9827	72.3712	75.097	46.4262	39.834	29.6709	29.4177	21.1487	15.5636	12.6362	30.4943	38.8602	43.7905
LHX1	27.1051	39.7107	20.1308	0	0	0	209.178	232.35	202.782	2699.94	2863.16	3056.85	1636.19	1645.89	1826.29	15.9077	11.5425	20.6174	0.429063	1.39751	3.33086	13.3567	61.5543	30.5543	1746.33	1328.56	1659.06	1158.88	1545.29	1224.61	20.585	29.0866	25.965	4.90652	4.29126	6.63232	1250.5	932.292	452.161	3261.88	3078.76	3108.51	872.606	1634.56	1207.37
LHX1-DT	31.5357	50.3002	22.3676	0	0	1.72379	115.643	72.1584	99.0604	759	816.341	834.396	820.704	893.819	924.872	13.5215	12.6967	14.3425	0	1.39751	0.740192	17.3638	25.7942	25.9502	479.188	367.279	486.734	714.916	936.868	770.887	28.1689	36.051	30.8773	2.45326	0	1.32646	290.219	242.052	151.447	929.299	868.732	849.787	382.351	621.763	463.971
MAP2	365.658	389.165	400.38	2904.07	3094.72	2334.01	14695.2	16827.3	15538.5	59156	55115.8	60560	53178.8	55720.3	55331.5	1084.9	1060.76	1188.19	6032.63	5540.07	6887.11	22746.5	21705.2	22085.7	46214.5	43948.4	50317.9	49731.7	44446.1	36111.7	1110.51	1056.13	1063.16	5052.49	4990.73	5430.54	35536.2	32703.6	24891.7	85239.2	78842.4	72964.8	88635.1	83459.6	85986.8
MAP2K1	2178.31	2192.03	2156.24	1069.45	1148.01	1104.95	1175.14	1091.04	1055.87	1018.39	893.032	892.882	1385.81	1524.16	1579.99	2447.4	2393.91	2232.95	1104.41	1178.45	999.629	1003.76	1251.02	950.113	1148.77	1098.3	1038.49	1130.65	1547.84	1090.68	2256.76	2460.89	2324.92	1075.75	1086.76	959.033	1086.9	1146.23	996.933	1154.47	977.678	1138.31	2420.78	2341.33	2837
MAP2K1P1	21.1107	18.5317	15.6573	3.55891	0	1.72379	1.70063	0	0	0	0	0	0	1.66757	0	4.77231	4.03987	4.03383	0.429063	1.39751	0	0	0.586232	0.837104	0	0	0.631302	0	0.637759	1.5049	6.50052	12.6998	9.8246	0	0	0	0	1.56163	0	1.24404	0	0	2.34571	0	2.08526
MAP2K2	3031.6	2999.48	2849.63	2181.61	2144.86	2337.46	2404.69	2339.38	2095.42	2208	2943.26	2984.07	1961.34	1991.08	2230.08	3012.92	3135.52	3033.89	2393.74	2637.1	2408.95	2265.3	2716.6	2166.01	2485.07	3244.06	2965.22	2116.51	2206.65	1735.91	3094.25	3113.09	3108.08	2750.1	2682.04	2570.69	2446.95	2557.95	2294.58	2392.29	2232.67	2446.16	2338.68	2382.62	2368.86
MAP2K3	940.078	1045.72	744.841	359.45	269.639	396.471	353.731	418.519	337.971	240.222	161.905	188.454	245.168	261.809	278.132	598.925	621.563	564.288	315.361	395.844	313.471	241.089	378.706	248.201	227.472	151.856	123.735	200.657	187.501	159.143	764.894	857.85	821.056	413.374	433.417	417.836	448.133	387.284	367.176	371.968	377.771	438.056	342.474	383.745	365.964
MAP2K4	1631.78	1712.85	1811.77	2327.53	2510.5	2299.53	2875.77	3120.13	3076.7	2774.06	3135.84	3380.47	2985.48	3275.11	3830.18	1560.54	1602.68	1557.06	2447.38	2389.74	2571.8	3476.09	3092.96	3135.37	2574.92	2875.37	2833.91	2342.4	2484.07	2793.48	1833.15	1648.51	1511.58	2357.58	2437.43	2276.21	3050.15	3085.78	2733.67	3263.12	3128.29	3299.11	4266.85	3920.02	4410.33
MAP2K5	673.197	653.903	543.532	672.634	776.234	796.39	947.252	1046.3	869.4	1213.89	1484.41	1278.89	1121.51	1245.68	1102.47	674.486	692.55	630.623	753.864	857.022	862.323	704.568	834.208	665.498	1020.41	1063.7	1149.6	1138.46	998.093	977.811	551.461	620.241	658.95	885.627	855.033	966.992	931.831	972.894	1004.56	1258.97	1146.05	1188.86	919.52	1219.24	1018.65
MAP2K5-DT	21.8926	31.7686	35.7881	62.2809	67.4098	44.8185	76.5284	69.2721	83.91	57.5	64.7619	67.5835	55.6409	50.0272	45.2383	22.2708	32.319	35.8563	64.3595	70.9235	64.3967	84.8153	52.1746	64.0385	39.2192	36.7279	52.398	28.8369	27.4236	38.7513	22.7518	20.8932	32.9826	49.0652	42.9126	75.6084	42.6793	53.0953	55.5668	21.1487	24.0528	10.5302	14.0743	21.8589	26.0658
MAP2K6	3700.11	4116.68	4077.61	5274.3	5447.94	5447.17	3263.51	3086.94	2822.64	2576	1890.02	2049.6	1914.4	1861.01	1809.53	3891.82	2816.95	3368.7	2915.06	3003.94	3006.29	1752.4	2162.02	1832.84	2100.01	1637.92	1597.19	1655.12	1500.01	1618.15	3776.8	4180.69	3987.38	3654.13	3437.3	3420.95	3747.24	3932.18	3295.87	3686.09	3057.54	3469.7	1686.57	2312.18	1817.31
MAP2K7	1319.55	1236.33	1131.8	1197.57	1194.99	1310.08	1219.35	1181.95	1039.55	875.278	1058.35	1080.04	422.523	563.639	505.999	1198.64	1248.32	1130.37	1136.16	1162.73	1142.49	942.986	1294.4	1026.71	985.472	1049.57	997.457	514.86	586.1	411.215	1149.51	1188.86	1094.74	1276.92	1289.52	1281.36	1488.08	1478.86	1211.57	936.763	868.732	1027.75	654.454	677.625	663.113
MEN1	1946.62	1998.77	1724.54	1987.65	1893.6	2187.49	1634.31	1733.25	1341.39	1524.39	1637.79	1510.23	876.345	895.486	856.177	1667.13	1629.8	1610.84	1648.89	1804.53	1699.11	1429.84	1596.9	1436.89	1702.83	1879.48	1588.36	1021.91	1042.1	680.216	1968.57	1884.48	1633.69	1880.42	1903.17	1943.27	1765.5	1794.31	1658.29	1336.1	1283.29	1318.38	1132.98	1134.23	1028.03
