"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,GM25256_day60-1,GM25256_day60-2,GM25256_day60-3
HOXB9,28484.5648342728,19.1435108956056,2.52791605033606,1.35411018505966e-52,2.72594986083062e-51,0,0,0,82657.4922994515,61512.9491406814,53302.3826452871
HOXB8,6596.33380659396,17.6139567378283,2.58717764344654,1.03975715594144e-44,1.73905091581063e-43,0,0,0,28312.8499806135,18380.9910869134,18591.9033631222
NEUROD6,1047.81589725273,16.1366542199319,3.30693729512769,2.02923999840979e-29,2.10120686644113e-28,0,0,0,6677.19841225852,3009.83911038332,5624.75409815298
HOXB7,2713.96504610474,16.1006192980861,2.56380353462813,1.73824800926687e-37,2.33611053627133e-36,0,0,0,8368.60975168427,5659.1777171501,9454.91075218291
HOXC6,3837.44847779443,15.870106721325,2.51977252279302,1.90667726752958e-36,2.49056931617524e-35,0,0,0,8613.20377365417,5906.31328252244,6304.74567803511
PANTR1,3032.98248595171,15.4948272466701,2.51952606250149,6.86787300555073e-35,8.49123450387494e-34,0,0,0,4031.43361211095,4644.56151986457,7383.39651439729
HOXC8,1963.87636314147,15.4779694186529,2.56380717526724,5.55437458524954e-34,6.6944094695575e-33,0,0,0,6671.73872426812,4883.76153955982,3908.37460941526
HOXA9,2602.8852220798,15.4713968729772,2.54119903363123,7.17615807576333e-35,8.86584837388262e-34,0,0,0,6251.34274900737,3941.69890275058,5301.15884724433
IFI44L,829.398862105042,15.2935812002919,2.75201160352885,3.49979290153408e-33,4.11889250258495e-32,0,0,0,4171.20162466518,3533.58512507149,3954.42227669856
GUCY1A1,1155.10191124079,15.1607161230874,2.58838435060026,3.52389579955886e-33,4.14580341908087e-32,0,0,0,4872.22556263247,3471.23440903718,3735.5381596122
HOXC10,1227.90792666948,15.1134868811837,2.58927817157192,2.41808648349353e-32,2.76524813216432e-31,0,0,0,4448.55377457747,3551.72351519056,3796.72478600233
HOXB6,1379.38693166331,15.0943034972672,2.56954660482139,3.39148136281009e-33,3.99422601260255e-32,0,0,0,4639.64285424145,3488.23914977381,3550.08591055343
HOXC9,1792.47703433499,15.0691053956729,2.53658813313468,2.81198605908392e-33,3.31873763128081e-32,0,0,0,4546.82815840466,3463.29886336009,3763.92370793752
HOXB5,1331.00585704014,15.0034380103112,2.59051086622529,5.05374138919136e-32,5.70341090514869e-31,0,0,0,5113.54377180812,3158.34717948321,2631.02493477583
HOXB-AS3,2007.53402119572,14.266131751486,2.49814567522282,6.4790283703054e-30,6.80338574297921e-29,0,0,0,2645.76480014757,1717.47881439952,2649.31784369659
HOPX,4470.98768875798,14.1638991475207,0.95274097184556,2.78878704999256e-48,5.10232338109447e-47,0,2.13958208937409,0.815642220826673,18556.3875417696,15857.4875615977,29712.0996170573
NEUROD2,372.69667910398,13.9416137467194,2.72521894967853,4.50378358459983e-27,4.25592946683443e-26,0,0,0,2082.32499953835,1496.41718482334,1187.14670996119
NEUROD4,2390.78563776852,13.9365515896085,2.46447462324771,1.73927033807224e-28,1.73812949288924e-27,0,0,0,2418.64177974695,1319.5678811624,2039.34394968359
HOXA5,971.746745555693,13.8982970420877,2.53238467492804,3.58687647890203e-28,3.53706754397876e-27,0,0,0,2282.14957998697,1527.02571814928,1509.48038094427
NR2F1,13078.9356209447,13.7743740614469,0.962713891138669,8.42600014162286e-42,1.29137024575636e-40,0,1.06979104468705,0.815642220826673,12074.6459595674,14101.4646681951,8430.50785262023
HOXA10,662.590537162821,13.7601410171737,2.57955244545673,2.79048888779329e-26,2.55063012110868e-25,0,0,0,2169.68000738474,1310.49868610287,1286.18073411842
ZNF804A,617.810957134166,13.672240220999,2.56973112388297,1.90947717327596e-26,1.75395603984279e-25,0,0,0,1623.7112083448,1902.26366373755,957.539163507483
CLEC3A,806.973041613572,13.544019176879,2.65635260441059,8.54172406079249e-26,7.64898496044998e-25,0,0,0,970.732524693021,1480.54609346916,1373.86053894552
DIPK1C,318.956617956283,13.5002032379692,2.67206692535941,3.1467975669312e-25,2.75533858015674e-24,0,0,0,1620.43539555056,1219.80673550751,855.351189536329
NTRK2,41281.0666138271,13.4054663968844,0.374229367473451,1.82817665465799e-280,1.25054745124136e-277,11.5665295957725,9.62811940218342,13.8659177540534,178829.896250338,122289.026182776,90755.5366856407
BHLHE22,319.039162360832,13.2243918425634,2.71508739452256,1.13184840849753e-19,7.85451241325468e-19,0,0,0,1133.43122680693,1466.94230087985,739.285836383906
LBX1,471.776789665906,13.0936534135936,2.56420254665171,3.61697920301077e-24,3.02404362500661e-23,0,0,0,1430.43825348465,874.043673862726,739.285836383906
NR2F2,13401.1961232005,12.7456723781143,0.619894298680249,7.07572269749668e-91,3.23111816586776e-89,1.44581619947156,2.13958208937409,2.44692666248002,17170.7187298063,18416.1342177691,10412.4499156904
TLX3,546.261188135417,12.7349629967927,2.50145496797446,5.35470137280624e-23,4.28350550390739e-22,0,0,0,1153.08610357236,777.683476355162,584.11150553882
NR2F2-AS1,501.763210945683,12.7281744271663,2.48585261187905,5.05613793028457e-24,4.19484235513065e-23,0,0,0,663.898059632573,824.163101035281,980.878392130524
LHX9,2128.65955934961,12.7216861363475,2.50813523723636,2.0310253753472e-23,1.65072523110784e-22,0,0,0,695.564249976889,919.389649160403,832.011960913287
GRIA2,1261.0474570449,12.689790278,0.981646301662438,5.01234904123385e-35,6.23159922715416e-34,0,1.06979104468705,0.815642220826673,5530.66393427464,6097.90002815512,4501.31717443307
ST18,3242.54386434885,12.5957025544634,1.28461212217816,2.15326969633357e-26,1.97356559151514e-25,0,1.06979104468705,0,4681.13648296848,2091.58311060535,2067.72949800891
NDST4,364.549027101925,12.502646753048,2.49810447459124,5.70440622132291e-23,4.55781377178311e-22,0,0,0,649.702870857534,677.922330700272,780.287183964925
STMN4,6429.65235700989,12.4883594347568,0.506095308814285,2.81742309800415e-132,2.7293175548816e-130,4.33744859841467,3.20937313406114,2.44692666248002,18442.8260315693,18747.1598374421,19478.7940507978
HOXC-AS1,277.372280702288,12.4754598009814,2.51037786693368,1.65903064869806e-22,1.29863123033773e-21,0,0,0,672.633560417212,524.879664070612,867.336198829242
RPE65,558.114666289801,12.4520225193011,1.37212852009293,1.71585122972649e-23,1.39897595519271e-22,1.44581619947156,0,0,3181.9061608048,1761.69114031475,3050.50026002779
NMS,121.911116131694,12.4515458625836,2.80149369601844,4.77855247342723e-21,3.51784585557509e-20,0,0,0,532.865547862986,357.099555469207,755.055585453529
HOXC-AS2,596.476211996988,12.4392353950739,2.47239622307321,1.68667108637182e-22,1.31934285817995e-21,0,0,0,940.158271946785,557.755496161428,584.11150553882
HOXD9,228.864319628244,12.3633944261911,2.55380926338483,9.98711696625742e-22,7.55127873843934e-21,0,0,0,753.436942675124,598.566873929337,510.939869855772
HOXD4,565.227649998615,12.2686538398715,2.32267110290902,8.60160360362463e-23,6.81580495475864e-22,0,0,0,921.595332779427,535.082508512589,621.32811334313
MAB21L2,2532.40131797255,12.2665789895902,0.828553057480706,8.69432894136233e-47,1.53781803407168e-45,2.89163239894311,0,0.815642220826673,7408.79660297205,5455.12082831055,4623.69042721334
NYAP2,150.040775100448,12.1859226725012,2.58410755359725,1.7355868697336e-21,1.30141836017295e-20,0,0,0,606.025366934339,548.686301101893,440.291394023862
HOXA3,474.154678564712,12.1575214376221,2.46058399880746,5.26363388242074e-22,4.02616340645774e-21,0,0,0,714.127189144248,541.884404807241,461.738252758549
PNOC,91.258851712612,12.1526079520549,2.79232802452247,2.14131714445383e-20,1.53360401811546e-19,0,0,0,501.199357518669,386.574439412697,456.69193305627
NSG2,10314.2642796347,12.1467265379619,0.349002073204144,1.0876863169197e-261,6.28570171905423e-259,1.44581619947156,9.62811940218342,9.78770664992007,35576.4188830409,35334.7176013324,34648.0310758492
HOXB4,924.624392223022,12.1254509025839,1.2626819289693,1.63874835660765e-25,1.4519579015801e-24,0,0,0.815642220826673,2281.05764238889,2055.30633036721,1956.07967459598
ARPP21,465.949738427921,11.9816088727923,1.28096896722443,1.43350057392038e-24,1.22135414938138e-23,0,1.06979104468705,0,1914.16660943405,2043.96983654279,1671.59340137999
OPRM1,1007.91467939461,11.9613417994827,0.994708946085125,8.52509439328682e-32,9.54389157896418e-31,0,0,2.44692666248002,3976.83673220696,6003.80712941244,3731.75341983549
DLX6-AS1,82.9276778340402,11.724301920047,2.94007232590779,1.81567620297367e-12,8.71638999874985e-12,0,0,0,278.444087510372,562.290093691196,352.611589196761
OLFM4,77.0090508735183,11.6783788877219,2.6520463731407,3.06335953854107e-19,2.08694481733373e-18,0,0,0,413.844349672278,278.877748080714,389.197407038285
LUM,880.275131920822,11.5605696935546,1.28944635316807,2.05362625653598e-22,1.60003358592685e-21,1.44581619947156,0,0,1018.77777900854,1619.98496750951,1747.91898687697
HOXA2,423.985201571964,11.5482780561111,2.42551388945536,4.70948802218722e-20,3.32181438399982e-19,0,0,0,511.026795901388,338.961165350136,318.548931206376
ASCL1,3031.85578378771,11.4995094408251,0.751120742956073,1.72131254661991e-50,3.31009489028148e-49,0,2.13958208937409,1.63128444165335,5853.87746330629,3801.12637932778,3650.38151463623
SCGN,92.1886690030373,11.4828836365689,2.59199838371239,8.48525048723005e-19,5.6486320919757e-18,0,0,0,378.902346533722,218.794330811292,392.35135685221
UNCX,998.596992784228,11.3677092884654,1.27458164755845,2.66854554373432e-22,2.06855479960423e-21,1.44581619947156,0,0,1609.51601956976,1271.95460709984,898.875696968487
CARTPT,238.835319781385,11.3425317504541,1.37628133361937,8.46100988330383e-20,5.90456234163185e-19,0,0,0.815642220826673,448.786352810834,2033.76699210082,1054.05002781357
HOXA-AS2,226.986714981356,11.3266427391675,2.44115149440809,2.36461366221186e-19,1.61782242763864e-18,0,0,0,342.868405797085,280.011397463156,362.073438638534
CCDC140,366.438849227759,11.2889355686419,2.43483602547008,4.44087059341382e-19,3.00038501411095e-18,0,0,0,372.350720945242,342.362113497462,261.14704459295
MKRN3,131.65303922873,11.232487615017,2.54194605747757,2.24540485186552e-18,1.46451605029828e-17,0,0,0,364.707157758683,211.99243451664,287.640223029916
VWC2L,237.445090788985,11.2126559168807,1.28864963931511,7.74577692958988e-22,5.88580709875297e-21,1.44581619947156,0,0,953.261523123743,1101.90719973355,1201.65487910524
VSTM2A-OT1,63.1796432922118,11.194248974343,2.61828404558689,5.74058156009422e-18,3.67129961326537e-17,0,0,0,324.305466629727,251.670162902108,222.668856863071
