"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day14-1,NCRM_day14-2,NCRM_day14-3
HOXB9,18134.1474708913,15.884940920143,1.2554598214537,3.07319875090157e-44,7.18111849182121e-43,0,0,0.586173260804951,14717.7567235898,15525.4689200066,12500.6091351767
HOXB-AS3,827.90229744365,15.6400749884296,2.57522941639216,8.51787745610235e-35,1.45430999756643e-33,0,0,0,3148.23202342124,3269.03392601214,2066.09875081706
HOXC6,2389.87389702379,15.2557758787115,2.46176744412542,4.38466577126667e-34,7.33324810182401e-33,0,0,0,2514.93784426506,2746.8410576353,1831.78760472546
TFAP2B,2954.85628411917,15.1734640148116,1.30938525936549,6.26692759798528e-38,1.19294524659323e-36,0,0,0.586173260804951,7291.49586113269,6734.33421922033,12051.6952571507
HOXA-AS3,321.228476044701,14.7442243931491,2.65337889346623,1.7634940406607e-30,2.60499146239848e-29,0,0,0,1324.34478745142,1820.57037444305,1190.16923271762
MSTN,526.299913733003,14.5115887496961,2.63525401891582,5.56274768518779e-24,6.30595796654893e-23,0,0,0,1442.89745778946,1149.17954367284,1662.07626059369
HOXC8,1650.93498880897,14.140339652041,2.44295385530759,2.54448323576925e-29,3.56022968584506e-28,0,0,0,1151.07550003429,1329.46041489817,877.024429997065
HOXB4,807.31057428408,13.6370620667578,2.45660552425831,2.36891963638605e-27,3.07352137438805e-26,0,0,0,769.072451167275,983.996085308733,592.347336614747
HOXA9,1438.44514066436,13.5068288583849,2.41694330283091,4.6679106952325e-27,5.98378418463014e-26,0,0,0,708.276209968281,867.657197966275,639.428548212592
ITGA8,204.403373511091,13.2399141709628,2.56542500534178,1.50641641240192e-24,1.75412421578015e-23,0,0,0,504.608801951651,435.160723647364,732.496059510658
HOXC9,1028.06898483614,13.2261620591657,2.42225868351898,5.66238136855003e-26,6.96350302636974e-25,0,0,0,616.06857748314,693.592908507329,509.1340323953
HOXD4,340.852965550874,13.0866829993102,2.47895507731116,5.77879830246188e-25,6.84066170810354e-24,0,0,0,493.462824398502,712.242653806502,381.029340373257
NR2F1,5235.66795181862,12.8544981165216,0.594035723354264,1.72161722815177e-100,1.55056982069462e-98,2.73251978770391,1.02808807525018,0,6983.46157239112,7481.21211429672,10299.8362209518
LUM,749.803210987943,12.7016330115859,1.47015972285939,3.88479250128681e-22,4.03771354182824e-21,0.910839929234638,0,0,1776.26351369728,1810.80146023873,1792.37077641098
HOXC-AS2,298.069913649821,12.5307662923109,2.45822518790295,4.68142715368859e-23,5.08128384115263e-22,0,0,0,360.724364447365,446.705804070661,295.626212358561
TBX2,85.5098719633393,12.4065284178266,2.8139185338529,3.360641042135e-14,2.2667629714643e-13,0,0,0,281.689250888673,341.023914042016,427.015640073478
NR2F2,8498.23600362592,12.3867332166967,0.545257688731387,2.00914284884449e-110,2.13413914058558e-108,0.910839929234638,1.37078410033358,1.1723465216099,6318.75600194879,6400.41497005419,7938.11125777619
HOXA3,256.344733028257,12.2601228482431,2.44860928871448,3.61088072894658e-22,3.76088363347991e-21,0,0,0,303.98120599497,384.539986406752,234.311146091601
EMCN,51.5995425307835,12.1631217854493,2.71780971549911,5.73885584337074e-19,5.08476148108907e-18,0,0,0,176.309099477083,126.995884656272,441.249494742593
DCN,405.042920501983,12.1618184595164,1.50379840426847,1.79687560601308e-19,1.63582100475446e-18,0,0,0.586173260804951,1066.97403304235,1257.52568302993,1296.37568678717
HOXB8,3632.02092426454,12.0968379539253,1.2499721252916,1.49574505333169e-26,1.87507138892887e-25,0,0,0.586173260804951,1150.06222934764,1121.64896727882,906.587051232922
HOXA7,288.634791141909,11.955719288474,2.41379204414028,2.92182106045973e-21,2.91449032661628e-20,0,0,0,265.476919902274,299.284007896248,206.938348650993
CSF3R,43.5816382943522,11.9045056108492,2.79904355447793,4.70875733258137e-19,4.18673215864983e-18,0,0,0,197.587783896731,235.34202401337,137.958899100662
HOXD3,452.278314590716,11.8036592537718,2.39464759367025,6.59320571266503e-21,6.46543040815602e-20,0,0,0,222.919551062978,285.074678144498,195.98922967475
HOXA2,217.589389482927,11.6872293646828,2.4286854293624,2.09119308222958e-20,1.99051969498997e-19,0,0,0,207.72049076323,221.13269426162,204.748524855744
HOXA5,465.029955755025,11.6826549286342,2.38848799818417,1.90178749007089e-20,1.81496515506175e-19,0,0,0,247.238047542576,243.33477199873,163.141872746021
HOXA1,53.1708692599982,11.5956849857347,2.53689014820301,2.36278605380809e-19,2.13911307343784e-18,0,0,0,175.295828790433,214.916112495229,162.046960848397
GRIA2,1574.34953547641,11.5017310151752,2.34951032853012,5.64045619482527e-20,5.24119852761227e-19,0,0,0,224.946092436278,133.212466422662,243.070441272595
HOXA-AS2,96.9007679650314,11.500062977491,2.47633689189999,5.62653819298523e-19,4.98842172382221e-18,0,0,0,196.574513210081,221.13269426162,130.294515817292
HOXB6,685.906807181598,11.4826767304749,2.36401504979038,8.38385453073712e-20,7.74129633677552e-19,0,0,0,194.547971836781,250.439436874605,137.958899100662
VGLL1,37.6842114439821,11.4805719414096,2.75098967255856,2.55412018203575e-17,2.06151869681134e-16,0,0,0,156.043685744085,166.95962458307,129.199603919668
S100A9,48.487662659231,11.2482590609811,3.14768777211672,1.98802711202726e-08,8.75701084642586e-08,0,0,0,220.893009689679,228.237359137495,142.338546691159
HOXB7,1270.08836680653,11.1886761266443,0.956962063192528,5.28584031395889e-30,7.65772701392378e-29,0,0.342696025083394,0.586173260804951,969.700047123956,1251.30910126354,688.699583605686
GUCY1A1,880.871849236609,10.9569784023274,1.24826300613711,2.96936170896761e-22,3.10316696810247e-21,0,0.342696025083394,0,487.383200278603,542.618779894978,406.212314018616
BMP5,448.087028894738,10.8924638111684,0.723591633175659,3.63617315649335e-49,9.86303108627776e-48,0.910839929234638,0.342696025083394,1.1723465216099,1435.80456298291,1243.31635327818,1706.96764839629
FAM181A,164.194674118933,10.8404200243571,2.41268757082077,2.10109262337079e-17,1.70625642569037e-16,0,0,0,134.765001324437,133.212466422662,97.4471588885628
NR2F2-AS1,141.810412524438,10.7849107530376,2.39051159214304,1.79589969689688e-17,1.46783813699383e-16,0,0,0,117.539399651389,120.779302889881,118.250484943425
HOXB5,951.672331718406,10.7329180420359,2.3168709674228,1.33560874856195e-17,1.09743110340948e-16,0,0,0,133.751730637787,143.869463736475,86.4980399123198
HOXB-AS4,62.6826525873195,10.6851663699622,2.46760700696713,3.97466104283174e-16,3.00665443930435e-15,0,0,0,109.433234158189,139.429048189053,74.4540090384525
URAD,15.9900816247516,10.6762830049619,2.93477895626622,4.09117216916388e-14,2.7422283590518e-13,0,0,0,82.074925618642,103.017640700192,52.5557710859665
HOXC10,1218.5328423745,10.6196858068291,1.25645665797121,1.17251873925622e-20,1.13539305892486e-19,0,0.342696025083394,0,380.989778180363,508.871621734571,261.683943532208
HOTAIRM1,61.2244213615498,10.4289823631526,2.42194056318243,4.42990672777398e-16,3.33832397059166e-15,0,0,0,112.473046218139,94.1368096053481,68.979449550331
