"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day35-1,NCRM_day35-2,NCRM_day35-3
HOXB9,18134.1474708913,16.760578632222,1.21174989319376,1.29556257585309e-49,1.17394238305096e-48,0,0,0.586173260804951,27010.3525808073,28550.8323055557,29248.3918595976
HOXC6,2389.87389702379,16.0301890614219,2.49431442952892,1.96520989155511e-37,1.38727593991071e-36,0,0,0,3797.31244101115,4206.38204708071,3759.09718531308
TRIM67,1288.67408803659,15.8326431711864,2.62523459404217,9.69094663413337e-36,6.58641525777247e-35,0,0,0,3694.03196004359,2699.65214602568,2876.48985515876
HOXC8,1650.93498880897,15.7750806679334,2.51568544916925,5.09716184942429e-36,3.48588842614927e-35,0,0,0,3478.44649006276,3240.03572708075,3000.52740538121
HOXA9,1438.44514066436,15.6728245940313,2.51592896488102,9.39503069734068e-36,6.38970076277756e-35,0,0,0,2918.9269912288,2883.17864525193,3228.35147721837
NEUROD6,459.719025110831,15.4744223974477,3.11170760788495,5.50603253169791e-30,3.27626654163883e-29,0,0,0,2094.6885897207,1753.69765927308,1491.82577410405
GRIA2,1574.34953547641,15.4487718258315,2.54457389363608,1.90394365307369e-34,1.25901146571714e-33,0,0,0,2943.99506913354,2359.78825856965,2281.61588980619
POU4F2,771.820116221074,15.3726764676796,2.60720534505736,1.24262774077689e-33,8.07094219777919e-33,0,0,0,2023.49524847122,2235.17149983578,2610.69510468208
HOXB5,951.672331718406,15.308266164273,2.54994183740018,9.42277626935879e-34,6.14172363800352e-33,0,0,0,2484.74788191857,2321.27035132464,2058.01078226231
HOXC9,1028.06898483614,15.1628287468659,2.5117108460191,1.5544821018849e-33,1.00567139698808e-32,0,0,0,2261.14062700822,2049.37924135982,2070.66767514215
HOXB8,3632.02092426454,15.1405470540574,1.27028002054195,4.96209210602334e-40,3.70061746802875e-39,0,0,0.586173260804951,8075.93197779345,8667.66200975344,8402.48928649778
HOXB6,685.906807181598,14.6239633343305,2.51906224820204,6.46839918974896e-31,3.933557862872e-30,0,0,0,1451.94307224297,1522.59021580298,1429.38510256349
ADCYAP1,799.63297361836,14.3722200236803,2.53117897383072,6.39243682722454e-30,3.79759525167546e-29,0,0,0,1143.10435245648,1217.84559671742,1301.12858804776
MAB21L2,2834.02175855618,13.9901657040244,0.843836671795689,3.33917562910093e-57,3.47727951379623e-56,0,1.02808807525018,0,9436.62724646314,8778.68421298908,9691.80477452436
HOXD3,452.278314590716,13.7920100954393,2.49971049697443,7.97812252126728e-28,4.49329439923268e-27,0,0,0,862.341879923313,734.10599690501,920.578008793842
