Gene	GM23913_day0_htseq_counts	GM23913_day14_htseq_counts	GM23913_day21_htseq_counts	GM23913_day35_htseq_counts	GM23913_day60_htseq_counts	GM25256_day0_htseq_counts	GM25256_day14_htseq_counts	GM25256_day21_htseq_counts	GM25256_day35_htseq_counts	GM25256_day60_htseq_counts	NCRM_day0_htseq_counts	NCRM_day14_htseq_counts	NCRM_day21_htseq_counts	NCRM_day35_htseq_counts	NCRM_day60_htseq_counts
A1BG	29	13	31	42	55	28	79	98	115	179	22	15	28	91	83
A1BG-AS1	49	38	64	83	78	90	262	179	178	244	57	29	68	87	86
A1CF	18	0	0	3	0	12	7	2	3	9	10	1	0	3	9
A2M	22	103	88	1036	2593	22	2640	1606	3889	7495	17	5174	261	825	5876
A2M-AS1	34	4	3	4	8	105	571	518	554	956	37	32	36	65	69
A2ML1	4018	2	1	5	66	5329	35	5	9	224	3662	44	9	28	27
A2ML1-AS1	19	0	0	1	2	7	0	0	0	4	8	1	0	3	2
A2ML1-AS2	79	0	1	0	0	56	1	0	0	1	36	0	0	0	0
A3GALT2	2	1	0	3	1	0	2	4	1	3	0	2	3	1	0
A4GALT	2566	27	3	2	64	1606	111	46	15	60	2032	92	31	25	265
A4GNT	1	0	0	3	0	9	10	1	1	3	2	0	0	0	1
AA06	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AAAS	8170	2703	3531	3417	1903	9492	14973	9432	7689	7923	8276	5184	3516	2903	1463
AACS	10802	1946	1672	1552	885	7438	6023	3385	2802	2764	12331	2842	1997	1804	1138
AADAC	0	0	0	0	2	0	0	0	0	1	0	0	0	0	10
AADACL2	0	0	0	0	2	0	0	0	0	10	0	0	0	0	2
AADACL2-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AADACL3	657	0	0	0	0	48	2	0	0	0	104	0	0	0	0
AADACL4	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AADAT	1277	1303	1816	2163	1554	2014	5689	3997	4212	4853	1591	1751	1926	2025	1071
AAGAB	9622	3584	6686	3747	2785	9426	17204	18982	7879	9917	10261	5876	5517	3309	3240
AAK1	9404	1735	2002	3642	4032	8721	10379	5543	8297	10490	7006	3031	4228	8742	9426
AAMDC	443	142	170	100	164	608	569	508	280	764	499	199	182	170	108
AAMP	16732	2868	4183	4047	3343	14486	16113	12986	9024	10802	16323	4954	4222	4561	3298
AANAT	25	0	3	4	4	39	15	10	5	16	45	2	4	0	4
AAR2	4863	2013	2439	2862	1617	4164	8859	6410	5623	5435	4417	3200	2707	2742	1491
AARD	392	24	29	18	84	443	212	109	26	156	300	10	11	24	37
AARS1	63341	7994	8806	23450	8371	87866	50793	25659	50197	22725	61032	13595	8661	14548	13637
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	4405	2036	1557	1071	889	6119	10687	4216	3285	2276	5024	3165	2274	1734	1180
AARSD1	158	60	78	25	23	231	279	168	32	154	169	60	39	15	16
AARSD1P1	8	9	20	24	8	8	46	36	31	65	5	15	17	47	15
AASDH	3606	1521	2615	1415	1265	4925	7379	5350	3027	5109	4392	2677	2159	2092	1100
